Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month,,Label
1/30/04 19:01,1075460462,a,22.984629,-41.37,84.478371,5.46,17450000000,16520000000,N/A,25.83,3.84,2.8,6.01,2.73,N/A,-29.56,-11.97,-24.95,-47.81,6060000000,12.803,N/A,2290000000,-363000000,-1790000000,-3.774,N/A,1610000000,3.37,1150000000,0.407,2.04,5.93,N/A,N/A,2.474,29.47,23.24,2989323,476150000,428500000,10.01,63.03,9300000,3.923,2.17,6930000,,Yes
4/13/04 4:07,1081800431,a,19.336773,-32.89,84.572807,5.64,15320000000,14770000000,N/A,20.83,2.89,2.43,4.98,2.35,N/A,-25.56,-6.2,-23.59,-46.82,6290000000,13.16,N/A,2290000000,-29000000,-1610000000,-3.391,N/A,1680000000,3.49,1150000000,0.375,2.284,6.394,N/A,N/A,2.496,33.53,27.32,3536636,480750000,432700000,10,66.79,7520000,2.328,1.74,9170000,,Yes
12/13/04 21:37,1102945054,a,14.8658,50.92,90.89415,7.57,11610000000,10370000000,33.58,15.79,1.62,1.61,3.24,1.44,15.3,4.86,5.38,5.26,10.92,7180000000,14.61,N/A,2290000000,678000000,349000000,0.71,N/A,2320000000,4.75,1150000000,0.323,2.441,7.32,N/A,N/A,2.547,23.64,25.64,2780227,487000000,389600000,20,66.68,6930000,2.638,1.78,6540000,,Yes
1/22/05 5:17,1106342239,a,13.59373,57.11,88.599785,9.77,10710000000,9760000000,30.7,14.34,1.51,1.52,3.04,1.36,14.4,4.86,5.38,5.26,10.92,7180000000,14.61,N/A,3120000000,678000000,349000000,0.71,N/A,2320000000,4.71,1150000000,0.322,2.446,7.329,N/A,N/A,2.166,23.71,24.72,2459863,491070000,441400000,10.12,67.08,7040000,2.385,1.6,6930000,,Yes
1/9/06 2:35,1136745316,a,21.544186,4.47,99.419518,11.58,17120000000,14870000000,52.82,19.69,1.81,3.31,4.26,2.89,35.665,6.38,3.58,1.68,3.69,5140000000,10.403,-22.8,3120000000,417000000,141000000,0.66,-64.9,2250000000,4.555,0,0,2.169,8.095,890000000,-250000000,N/A,34.92,30.86,3843670,494180000,N/A,0.57,70.4,10980000,2.3,2.2,5840000,,Yes
6/21/06 11:01,1150858876,a,20.36565,27.19,97.328659,23.81,13700000000,12620000000,5.08,17.3,1.26,2.53,3.37,2.33,7.549,56.5,9.38,12.15,28.88,5420000000,11.414,12,2520000000,1670000000,1150000000,6.33,21.1,2660000000,6.24,1500000000,0.368,2.565,9.563,725000000,1960000000,2.75,35.35,35.72,2766800,425820000,420030000,5.99,74.8,6920000,3.4,1.6,4620000,,No
8/19/06 10:42,1155955321,a,19.829382,12.91,101.750931,12.76,13540000000,12260000000,4.63,17.01,1.21,2.54,3.38,2.18,17.215,56.57,8.99,4.54,34.26,5630000000,12.408,-13.9,2520000000,712000000,1330000000,6.87,118.3,2250000000,5.499,1500000000,0.396,2.513,9.563,652000000,1200000000,2.76,29.27,34.2,3040930,425820000,403440000,6.24,72.7,7350000,2.5,1.8,9340000,,Yes
2/20/07 17:46,1171964816,a,21.502054,-2.95,114.838272,-5.21,13220000000,12580000000,4.33,15.11,1.13,2.68,3.67,2.53,7.322,66.5,11.12,13.7,37.19,4970000000,11.538,-21,2660000000,1720000000,1440000000,7.499,496,2260000000,5.556,1500000000,0.411,2.573,8.941,634000000,1010000000,2.75,33.0118,32.5942,2657080,407110000,401570000,8.76,67.6,5910000,2.8,1.5,5150000,,Yes
4/12/07 5:07,1176325671,a,23.07715,-13.59,114.204292,-6,13970000000,12500000000,4.62,16.1,1.13,2.77,3.87,2.51,7.275,66.5,11.12,13.7,37.19,4970000000,11.538,-21,2660000000,1720000000,1440000000,7.5,496,2260000000,5.556,1500000000,0.411,2.573,9.03,634000000,1010000000,2.75,32.73,33.26,2840540,403650000,401570000,6.26,72,5910000,2.8,1.5,5150000,,Yes
1/23/08 19:28,1201087730,a,22.124149,-43.46,107.202965,-36.69,11950000000,12460000000,20.47,13.07,1.04,2.25,3.76,2.3,15.421,11.77,11.38,5.17,18.54,5420000000,13.756,8.9,2970000000,808000000,638000000,1.57,20.8,1830000000,4.916,2090000000,0.645,2.207,8.741,969000000,341750000,1.55,36.33,36.75,2459290,371470000,371230000,1.49,73.8,3640000,1.9,1,3510000,,Yes
